CA230334_a,CA230334_b,CA230335_a,CA230335_b,CA230337_a,CA230337_b,CA230347_a,CA230347_b,CA230348_a,CA230348_b,CA230354_a,CA230354_b,CA230361_a,CA230361_b,CA230365_a,CA230365_b,CA230366_a,CA230366_b,CA230375_a,CA230375_b,CA230377_a,CA230377_b,CA230378_a,CA230378_b,CA230381_a,CA230381_b,CA230386_a,CA230386_b,CA230387_a,CA230387_b,CA230401_a,CA230401_b,CA230404_a,CA230404_b,CA230411_a,CA230411_b,CA230416_a,CA230416_b,CA230417_a,CA230417_b,CA230422_a,CA230422_b,CA230423_a,CA230423_b,CA230424_a,CA230424_b,CA230428_a,CA230428_b,CA230429_a,CA230429_b,CA230430_a,CA230430_b,CA230715_a,CA230715_b,CA230717_a,CA230717_b,CA230718_a,CA230718_b,CA230724_a,CA230724_b
Capulí,Capulí,Tuza,Tuza,Piartal - 2,Piartal - 2,Piartal - 2,Piartal - 2,Capulí,Capulí,Tuza,Tuza,Piartal - 1,Piartal - 1,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Tuza,Tuza,Piartal - 2,Piartal - 2,Tuza,Tuza,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Tuza,Tuza,Tuza,Tuza,Tuza - Red slip,Tuza - Red slip,Tuza,Tuza,Piartal - 1,Piartal - 1,Tuza,Tuza,Tuza,Tuza
6.83382,10.16108,6.55197,5.71516,5.1194,6.9725,4.6013,7.0583,7.78725,6.89706,6.61428,6.88733,6.71316,7.65002,7.17753,7.39454,6.57285,7.07972,5.7037,6.80274,7.69283,8.65418,4.96149,9.2669,5.73463,8.40589,7.33888,8.34465,6.96346,8.82912,5.85875,5.11218,6.52508,6.44766,5.18829,5.61584,4.93508,6.54478,6.29132,5.69653,6.29273,6.14221,4.74183,6.01255,5.93516,5.17998,5.23361,5.91397,7.02989,4.95758,4.82518,7.32993,6.02977,6.53519,5.71295,5.89047,6.09299,6.01494,4.94936,6.54708
6.83382,10.16292,6.55197,5.71526,5.0377,6.8878,4.685,7.2264,7.78725,6.89714,6.69801,6.884,6.62924,7.56366,7.17753,7.39603,6.57285,6.91042,6.03921,6.80157,7.69283,8.57141,4.96149,9.35107,5.8335,8.5107,7.42227,8.26157,6.96346,8.91289,5.85875,5.11305,6.44143,6.36392,5.27198,5.61582,4.93508,6.46153,6.3752,5.61358,6.29273,6.14156,4.74183,6.01256,5.85157,5.26348,5.23361,5.82872,7.02989,4.95752,4.82518,7.32861,6.02977,6.53925,5.71295,5.80803,6.25993,6.01495,4.94936,6.46313
6.83382,10.16161,6.63596,5.71558,5.1221,6.9726,4.685,7.1425,7.78725,6.89696,6.69801,6.88251,6.71316,7.4789,7.17753,7.39677,6.57285,6.9947,6.12309,6.71938,7.69283,8.57135,4.96149,9.26682,5.8335,8.51178,7.33888,8.34667,6.96346,8.74459,5.85875,5.11326,6.44143,6.53142,5.27198,5.61574,4.85143,6.46162,6.45909,5.61395,6.37663,6.14156,4.74183,5.92904,5.85157,5.26289,5.23361,5.91277,7.02989,4.95737,4.90837,7.24501,6.02977,6.54346,5.71295,5.89219,6.17646,6.01409,5.03325,6.54704
6.83382,10.16047,6.55197,5.79989,5.1214,6.9703,4.7686,7.2267,7.87098,6.89746,6.61428,6.8822,6.79707,7.56307,7.17753,7.3965,6.65605,6.91064,6.29085,6.88831,7.69283,8.65535,4.96149,9.35101,5.93238,8.41178,7.33888,8.2635,6.96346,8.91287,6.02614,5.11319,6.52508,6.36527,5.18829,5.61654,4.85143,6.46158,6.54297,5.61259,6.37663,6.05741,4.74183,6.01255,5.85157,5.17885,5.31802,5.82864,7.02989,5.04117,4.74199,7.32841,6.02977,6.46167,5.71295,5.80654,6.17646,6.01383,5.03325,6.46312
6.91819,10.16049,6.63596,5.71603,5.1242,6.8868,4.7686,7.2265,7.78725,6.89751,6.69801,6.88209,6.79707,7.56303,7.17753,7.48129,6.73925,6.99506,6.4586,6.80435,7.77645,8.65452,4.96149,9.26677,5.93238,8.41173,7.50567,8.26227,7.13125,8.7448,5.85875,5.1132,6.44143,6.53568,5.35566,5.70189,4.93508,6.46156,6.54297,5.61293,6.46053,6.14147,4.90821,5.92904,5.85157,5.17718,5.31802,5.82775,7.11358,4.87286,4.82518,7.24448,6.11352,6.54631,5.71295,5.89005,6.17646,6.01389,5.03325,6.54705
6.83382,10.24534,6.55197,5.79986,5.2924,6.8885,4.7686,7.2264,7.78725,6.89658,6.69801,6.71305,6.79707,7.47894,7.26099,7.39881,6.65605,6.99515,6.4586,6.72051,7.77645,8.65664,5.04559,9.351,5.8335,8.41172,7.50567,8.26031,7.04736,8.82894,6.02614,5.11259,6.44143,6.45298,5.27198,5.61898,4.93508,6.46156,6.45909,5.61447,6.46053,6.13929,4.74183,6.01255,5.85157,5.25964,5.23361,5.82612,7.19727,4.95729,4.74199,7.32463,6.02977,6.37866,5.71295,5.89067,6.17646,6.01423,5.03325,6.46312
6.83382,10.33015,6.63596,5.71553,5.2907,6.9702,4.8523,7.1425,7.87098,6.98047,6.78173,6.79684,6.79707,7.56294,7.26099,7.31506,6.57285,6.99518,6.54248,6.80613,7.77645,8.65581,5.21377,9.26691,5.93238,8.31155,7.50567,8.17453,7.13125,8.82896,5.94244,5.02868,6.44143,6.36946,5.27198,5.61894,4.93508,6.46155,6.62686,5.53208,6.37663,6.1365,4.90821,6.01255,5.85157,5.26036,5.31802,5.91037,7.11358,5.04116,4.74199,7.32336,6.11352,6.5466,5.71295,5.89141,6.17646,6.0128,5.11714,6.54605
6.83598,10.16066,6.72121,5.71552,5.2058,6.8869,4.9372,7.2265,7.86839,6.89646,6.78929,6.79797,6.79784,7.47891,7.25188,7.39891,6.6536,7.07926,6.63192,6.80725,7.76327,8.56706,5.21468,9.3504,5.94814,8.41167,7.58907,8.25551,7.12874,8.74539,6.02944,5.11312,6.4415,6.45337,5.35575,5.53621,4.85275,6.46156,6.54297,5.61621,6.37661,6.13637,4.82514,6.01255,5.85147,5.17954,5.31803,5.9108,7.11492,4.95684,4.65992,7.32337,6.03808,6.37877,5.71716,5.80755,6.26089,6.01129,5.20276,6.46047
6.92035,10.32969,6.55355,5.71566,5.2006,6.888,4.9375,7.0574,7.95184,6.89607,6.78986,6.79867,6.88317,7.4789,7.24745,7.39757,6.65339,6.99552,6.71773,6.80731,7.8317,8.56577,5.29772,9.2651,5.95837,8.31155,7.67246,8.25332,7.12604,8.913,5.86341,5.11325,6.44095,6.4537,5.44191,5.62035,4.85367,6.37765,6.54297,5.53221,6.46044,6.05264,4.82601,6.09589,5.85204,5.26622,5.31903,5.91069,7.2016,5.04098,4.74354,7.32336,6.13035,6.54762,5.80165,5.89153,6.09454,6.0106,5.11982,6.54461
6.9196,10.32586,6.72168,5.63182,5.2076,6.9701,4.8537,7.14,7.95234,6.97961,6.78927,6.71484,6.8847,7.56285,7.2467,7.39663,6.65979,7.0806,6.8857,6.80755,7.82539,8.56569,5.38376,9.34904,6.06383,8.41169,7.67246,8.254,7.20859,8.82854,6.03054,5.11317,6.52479,6.45343,5.36273,5.6195,4.85442,6.46155,6.62686,5.53147,6.45943,6.13674,4.82715,5.92749,5.85435,5.26655,5.31922,5.9105,7.11912,5.04088,4.66033,7.24145,6.05155,6.46424,5.79788,5.72346,6.17821,6.01033,5.20297,6.54662
6.91954,10.23879,6.55365,5.7156,5.0341,6.9717,4.9411,7.2237,8.03604,6.81151,6.78884,6.88199,6.88487,7.47874,7.33008,7.39727,6.67104,6.99702,6.88546,6.89203,7.82947,8.56522,5.46766,9.26433,5.96778,8.31153,7.67246,8.17126,7.2094,8.74515,6.03029,5.11317,6.52732,6.45369,5.27826,5.70216,4.85574,6.37764,6.54297,5.61486,6.54013,6.05334,4.91055,6.09278,5.85602,5.09885,5.48839,5.91051,7.20278,4.95708,4.74448,7.32518,6.13568,6.46326,5.8814,5.80795,6.17817,6.01024,5.2019,6.46331
6.83549,10.23783,6.63768,5.63107,5.0397,6.9726,4.9444,7.2237,8.03605,6.81211,6.87243,6.71273,6.96874,7.56093,7.33259,7.31408,6.50693,6.99857,6.88352,6.8915,7.83314,8.48144,5.46517,9.34744,5.96946,8.41171,7.75586,8.17138,7.20572,8.91347,5.94823,5.11243,6.44709,6.53621,5.27699,5.61783,4.85763,6.37764,6.62686,5.44804,6.45631,6.13704,4.82731,6.00888,5.94,5.26611,5.40454,5.91067,7.20213,5.04132,4.66218,7.40847,6.13609,6.46267,5.96659,5.80798,6.17815,6.01025,5.28571,6.46337
6.92158,10.40673,6.55367,5.71522,5.115,6.9726,5.0282,7.1396,8.03619,6.89614,6.78876,6.71294,6.96902,7.47571,7.34525,7.39878,6.59053,7.08472,6.96801,6.80686,7.83475,8.56628,5.46511,9.34706,5.97085,8.41168,7.75586,8.25473,7.27901,8.74497,6.03376,5.02874,6.44985,6.4527,5.36105,5.61795,4.8582,6.37767,6.54297,5.53265,6.54489,6.13704,4.99397,6.09231,5.93998,5.18271,5.40468,5.82664,7.20156,5.04102,4.66252,7.32517,6.13175,6.54651,5.88322,5.80801,6.09424,6.00981,5.20202,6.54679
6.92369,10.23734,6.63769,5.7155,5.0377,6.9714,4.9439,7.1383,8.2036,6.81219,6.87296,6.71412,6.96797,7.64368,7.1921,7.31429,6.60325,7.00106,7.05298,6.97487,7.83539,8.65004,5.54853,9.26332,6.07278,8.31157,7.75598,8.17232,7.27399,8.91288,6.03358,5.1969,6.36777,6.37099,5.27764,5.70182,4.85804,6.37725,6.62686,5.53257,6.54881,6.05296,4.99399,6.00887,5.9399,5.18281,5.40467,5.82716,7.20231,4.95758,4.66261,7.4086,6.21012,6.37869,5.79945,5.80792,6.09312,6.09195,5.20276,6.46089
7.01024,10.32193,6.72175,5.71587,5.1215,6.8844,4.9438,7.1369,8.03616,6.89672,6.87003,6.79862,6.96772,7.55907,7.19892,7.39775,6.70643,7.08552,6.96872,6.80705,7.83554,8.65008,5.46399,9.34798,6.07536,8.41171,7.83997,8.17239,7.35753,8.74487,6.03364,5.11317,6.45284,6.45474,5.36086,5.7039,4.85747,6.45977,6.62684,5.4482,6.55051,6.05376,4.99395,6.00888,5.93943,5.18287,5.40465,5.91161,7.20454,5.04226,4.74588,7.24377,6.12419,6.46255,5.96768,5.72341,6.17545,6.09217,5.28842,6.54325
