"red_count","black_count","white_count","proportion_red_to_red_black","file_name","percent_complete","ID"
85,49336,412310,0.001719916634629,"CA230428_32_infill.tiff",0.998280083365371,"CA230428_32"
68,49568,414030,0.00136997340639858,"CA230428_33_infill.tiff",0.998630026593601,"CA230428_33"
124,49772,416666,0.00248516915183582,"CA230428_34_infill.tiff",0.997514830848164,"CA230428_34"
104,50114,417794,0.00207097056832212,"CA230428_35_infill.tiff",0.997929029431678,"CA230428_35"
35,50573,419344,0.000691590262409105,"CA230428_36_infill.tiff",0.999308409737591,"CA230428_36"
102,50741,423971,0.00200617587475169,"CA230428_4_infill.tiff",0.997993824125248,"CA230428_4"
189,45746,424326,0.00411450963317732,"CA230429_14_infill.tiff",0.995885490366823,"CA230429_14"
199,45070,422131,0.00439594424440566,"CA230429_15_infill.tiff",0.995604055755594,"CA230429_15"
178,44835,419535,0.0039544131695288,"CA230429_16_infill.tiff",0.996045586830471,"CA230429_16"
94,50544,416170,0.00185631344049923,"CA230429_29_infill.tiff",0.998143686559501,"CA230429_29"
112,51110,417482,0.00218656046230135,"CA230429_30_infill.tiff",0.997813439537699,"CA230429_30"
149,51311,419129,0.00289545277885737,"CA230429_31_infill.tiff",0.997104547221143,"CA230429_31"
196,51536,421247,0.00378875744220212,"CA230429_32_infill.tiff",0.996211242557798,"CA230429_32"
211,51707,423010,0.00406410108247621,"CA230429_33_infill.tiff",0.995935898917524,"CA230429_33"
196,51740,424941,0.00377387553912508,"CA230429_34_infill.tiff",0.996226124460875,"CA230429_34"
145,51853,427335,0.00278856879110735,"CA230429_35_infill.tiff",0.997211431208893,"CA230429_35"
107,51464,426361,0.00207480948595141,"CA230429_36_infill.tiff",0.997925190514049,"CA230429_36"
170,41136,218228,0.00411562484869026,"CA230430_24_infill.tiff",0.99588437515131,"CA230430_24"
630,40442,214843,0.0153389170237631,"CA230430_25_infill.tiff",0.984661082976237,"CA230430_25"
694,40232,213901,0.0169574353711577,"CA230430_26_infill.tiff",0.983042564628842,"CA230430_26"
398,40284,213415,0.00978319649968045,"CA230430_27_infill.tiff",0.99021680350032,"CA230430_27"
86,40580,216327,0.00211478876702897,"CA230430_28_infill.tiff",0.997885211232971,"CA230430_28"
158,39555,225940,0.00397854606803817,"CA230430_5_infill.tiff",0.996021453931962,"CA230430_5"
121,39466,226423,0.00305655897137949,"CA230430_6_infill.tiff",0.996943441028621,"CA230430_6"
434,56672,498185,0.0075999019367492,"CA230724_10_infill.tiff",0.992400098063251,"CA230724_10"
395,56686,497200,0.00691999089013857,"CA230724_11_infill.tiff",0.993080009109861,"CA230724_11"
511,56494,497438,0.0089641259538637,"CA230724_12_infill.tiff",0.991035874046136,"CA230724_12"
500,56625,498039,0.0087527352297593,"CA230724_13_infill.tiff",0.991247264770241,"CA230724_13"
227,56926,495529,0.00397179500638637,"CA230724_14_infill.tiff",0.996028204993614,"CA230724_14"
39,57391,493833,0.000679087584885948,"CA230724_15_infill.tiff",0.999320912415114,"CA230724_15"
386,59172,500602,0.00648107726921656,"CA230724_25_infill.tiff",0.993518922730783,"CA230724_25"
553,58982,502190,0.00928865373309818,"CA230724_26_infill.tiff",0.990711346266902,"CA230724_26"
521,58928,502763,0.00876381436189002,"CA230724_27_infill.tiff",0.99123618563811,"CA230724_27"
468,59071,502619,0.0078603940274442,"CA230724_28_infill.tiff",0.992139605972556,"CA230724_28"
445,59351,503303,0.00744196936249916,"CA230724_29_infill.tiff",0.992558030637501,"CA230724_29"
418,59375,502129,0.00699078487448364,"CA230724_30_infill.tiff",0.993009215125516,"CA230724_30"
234,59574,501925,0.00391252006420546,"CA230724_31_infill.tiff",0.996087479935794,"CA230724_31"
143,59640,501339,0.00239198434337521,"CA230724_32_infill.tiff",0.997608015656625,"CA230724_32"
129,59277,502096,0.00217149782850217,"CA230724_33_infill.tiff",0.997828502171498,"CA230724_33"
114,58863,502479,0.0019329569154077,"CA230724_34_infill.tiff",0.998067043084592,"CA230724_34"
149,58473,503290,0.00254170789123537,"CA230724_35_infill.tiff",0.997458292108765,"CA230724_35"
92,57939,505371,0.00158535954920646,"CA230724_36_infill.tiff",0.998414640450794,"CA230724_36"
220,56110,508680,0.00390555654180721,"CA230724_4_infill.tiff",0.996094443458193,"CA230724_4"
385,56061,509028,0.00682067817028665,"CA230724_5_infill.tiff",0.993179321829713,"CA230724_5"
469,56011,506415,0.00830382436260623,"CA230724_6_infill.tiff",0.991696175637394,"CA230724_6"
413,56181,503729,0.00729759338445772,"CA230724_7_infill.tiff",0.992702406615542,"CA230724_7"
436,56581,499630,0.00764684216987916,"CA230724_8_infill.tiff",0.992353157830121,"CA230724_8"
471,56695,498020,0.00823916313892873,"CA230724_9_infill.tiff",0.991760836861071,"CA230724_9"
