CA230334,CA230335,CA230337,CA230347,CA230348,CA230354,CA230361,CA230365,CA230366,CA230375,CA230377,CA230378,CA230381,CA230386,CA230387,CA230401,CA230404,CA230411,CA230416,CA230417,CA230422,CA230423,CA230424,CA230428,CA230429,CA230430,CA230715,CA230717,CA230718,CA230724
Capulí,Tuza,Piartal - 2,Piartal - 2,Capulí,Tuza,Piartal - 1,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Tuza,Piartal - 2,Tuza,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Tuza,Tuza,Tuza - Red slip,Tuza,Piartal - 1,Tuza,Tuza
9.98677,6.59632,5.46845,8.85768,9.80876,6.42397,8.94131,10.30172,11.59637,10.72221,9.04907,8.61349,10.73866,9.72917,12.40837,6.34164,8.37073,6.76375,6.27334,8.01986,8.05927,7.18356,7.5314,7.33327,7.20217,5.7462,6.34556,7.01326,6.68287,6.76167
9.90213,6.59612,5.46845,8.84483,9.80876,6.42417,8.94159,10.30203,11.59601,10.7222,9.04907,8.60091,10.73866,9.81377,12.39432,6.34125,8.37073,6.76889,6.27334,7.83557,8.05927,7.18356,7.53117,7.52975,7.20239,5.74637,6.34556,7.01347,6.68308,6.76209
9.8175,6.59612,5.46845,8.99312,9.80876,6.33944,8.94159,10.30203,11.59637,10.72187,9.04879,8.58148,10.73866,9.81407,12.53825,6.34125,8.37073,6.68571,6.27334,8.1103,8.05927,7.18378,7.53117,7.34885,7.20239,5.74637,6.34576,7.01347,6.68328,6.76209
9.8178,6.59632,5.46845,9.11062,9.80876,6.33944,8.94159,10.30203,11.51172,10.72187,9.04879,8.78418,10.73866,9.72946,12.66038,6.34164,8.37073,6.68613,6.27334,8.01979,8.05976,7.18356,7.5314,7.26834,7.20239,5.74637,6.34556,7.01326,6.68308,6.76167
9.90213,6.59632,5.46878,9.01266,9.80878,6.42417,8.94159,10.30203,11.51172,10.63777,9.13336,8.68516,10.73866,9.72919,12.56309,6.34164,8.37099,6.68619,6.27315,7.93386,7.97618,7.18356,7.5314,7.27371,7.20239,5.74637,6.34576,7.01347,6.68308,6.76167
9.8175,6.59632,5.46878,8.84872,9.79777,6.42397,8.85723,10.30203,11.51172,10.63777,9.13336,8.51938,10.73866,9.71803,12.47874,6.34164,8.37073,6.77077,6.27334,7.94006,7.97618,7.18378,7.5314,7.19093,7.20239,5.7462,6.34576,7.01347,6.67329,6.76209
9.8175,6.59612,5.46845,8.77114,9.86292,6.42397,8.85723,10.30203,11.51137,10.63744,9.13364,8.52583,10.82389,9.69927,12.40408,6.34164,8.37073,6.68613,6.27334,7.9424,7.89358,7.18356,7.53117,7.19117,7.20239,5.7462,6.34556,7.01326,6.74236,6.67756
9.8175,6.59612,5.46845,8.68892,10.06143,6.42417,8.85696,10.30203,11.51172,10.63744,9.04907,8.44265,10.82389,9.81288,12.40726,6.34164,8.37073,6.68613,6.27334,7.94283,7.8931,7.18356,7.53117,7.19124,7.20217,5.74637,6.34556,7.01347,6.93696,6.67715
9.8178,6.59632,5.46845,8.68897,10.05117,6.42397,8.85723,10.28691,11.51172,10.63744,9.04879,8.44293,10.73866,9.80265,12.32378,6.34164,8.37073,6.68613,6.35812,7.94297,7.8931,7.18378,7.70065,7.1914,7.20217,5.74637,6.34556,7.01347,6.75697,6.67715
9.8175,6.59632,5.46845,8.68905,9.79758,6.42397,8.85723,10.34777,11.51137,10.63779,9.04879,8.44301,10.73866,9.71816,12.40851,6.34164,8.37073,6.68613,6.35812,8.02761,7.89358,7.18378,7.70065,7.27577,7.20239,5.74637,6.34576,7.01347,6.67616,6.67756
9.8175,6.59632,5.46845,8.77387,9.80538,6.41459,8.85723,10.47098,11.51172,10.62574,9.13336,8.52849,10.73866,9.72582,12.40837,6.34164,8.37073,6.68613,6.35812,8.02766,7.8931,7.18356,7.70065,7.27577,7.20239,5.7462,6.34576,7.01347,6.68103,6.67756
9.8175,6.59632,5.46878,8.77386,9.7237,6.48415,8.85723,10.45422,11.51172,10.68855,9.13364,8.52848,10.73866,9.64376,12.40835,6.34164,8.37099,6.68613,6.35812,8.02172,7.8931,7.18356,7.70065,7.19139,7.19185,5.6617,6.34556,7.01326,6.59807,6.67715
9.8175,6.59612,5.46878,8.85768,9.72408,6.59308,8.85723,10.20704,11.51137,10.72063,9.13364,8.52821,10.73866,9.64445,12.40834,6.34164,8.37073,6.68633,6.35812,8.00694,7.8931,7.18378,7.70041,7.27599,7.25987,5.57736,6.34556,7.01347,6.59848,6.67715
9.8175,6.59612,5.46845,8.85768,9.72402,6.4984,8.85723,10.21454,11.49475,10.79422,9.13336,8.6135,10.73866,9.64469,12.40841,6.34125,8.37073,6.68613,6.35812,8.10862,7.8931,7.18356,7.70041,7.27599,7.45634,5.57736,6.34576,7.01347,6.59854,6.67756
9.8175,6.59632,5.46845,8.85822,9.80878,6.41737,8.85723,10.21695,11.72175,10.54134,9.13336,8.61376,10.82389,9.72919,12.39765,6.34125,8.37073,6.68613,6.35812,8.0222,7.97667,7.18356,7.70065,7.36037,7.2756,5.57736,6.34576,7.01326,6.68329,6.67756
9.8178,6.59632,5.46845,8.85822,9.80906,6.3375,8.85723,10.2176,11.93466,10.63365,9.13336,8.61376,10.82389,9.72917,12.3754,6.34164,8.37073,6.68613,6.27315,8.01736,7.97618,7.18378,7.70065,7.36037,7.19499,5.57736,6.34556,7.01347,6.68308,6.67715
9.8175,6.59632,5.46845,8.85822,9.80906,6.33905,8.85696,10.30182,11.74688,10.63662,9.12017,8.61351,10.82389,9.72917,12.5737,6.34164,8.37073,6.68613,6.27334,8.02395,7.97618,7.18378,7.70065,7.3606,7.20019,5.57719,6.34556,7.01347,6.68308,6.67715
9.8175,6.58637,5.46845,8.85768,9.80876,6.33944,8.85723,10.30205,11.49992,10.63733,9.18346,8.60376,10.82389,9.72946,12.48263,6.34164,8.37073,6.68613,6.27334,8.02709,7.97667,7.18356,7.61603,7.27599,7.117,5.57719,6.34576,7.01326,6.68308,6.67756
9.8175,6.65588,5.46878,8.85768,9.89332,6.3395,8.85723,10.30204,11.50833,10.63758,9.30258,8.50208,10.82356,9.72946,12.39331,6.34164,8.37099,6.68613,6.27334,8.10933,7.97642,7.18356,7.68903,7.27599,7.11744,5.49286,6.34576,7.01347,6.59848,6.67756
9.8175,6.68072,5.46878,8.85822,9.80876,6.42418,8.85723,10.30203,11.51066,10.63779,9.20376,8.6978,10.82356,9.72917,12.31861,6.34164,8.37073,6.68633,6.27334,7.92628,7.97618,7.18378,7.75661,7.27577,7.11773,5.56912,6.34556,7.01347,6.59868,6.67715
9.8178,6.58579,5.46845,8.85822,9.80876,6.42397,8.85723,10.30203,11.51138,10.63777,9.124,8.60385,10.82389,9.72917,12.40711,6.34164,8.37073,6.68613,6.27334,8.10629,7.8931,7.18356,7.86965,7.27577,7.2024,5.55686,6.34556,7.01347,6.59848,6.67715
9.8175,6.58958,5.46845,8.85768,9.80876,6.42397,8.85723,10.30203,11.51149,10.72187,9.13063,8.5189,10.82389,9.72917,12.40843,6.34164,8.37073,6.68613,6.27334,8.19259,7.89334,7.18356,7.68872,7.27599,7.28713,5.66176,6.34576,7.01347,6.59848,6.67756
9.8175,6.5097,5.46845,8.85768,9.80876,6.42417,8.85723,10.30203,11.51174,10.63744,9.1328,8.52528,10.82389,9.64456,12.40854,6.34164,8.37074,6.68613,6.27334,8.10072,7.89334,7.18378,7.69267,7.27599,7.28691,5.6531,6.43037,7.01326,6.59848,6.67756
9.8175,6.51114,5.46845,8.85822,9.80906,6.42397,8.85696,10.30203,11.51173,10.63777,9.13336,8.44224,10.82389,9.64456,12.40837,6.34164,8.35864,6.68613,6.27334,8.02335,7.8931,7.18378,7.69829,7.27599,7.2869,5.57151,6.43017,7.01347,6.59848,6.67715
9.8175,6.51175,5.46878,8.85822,9.80906,6.42397,8.85723,10.30203,11.51172,10.63782,9.21801,8.44309,10.82389,9.64456,12.40835,6.34125,8.42418,6.68613,6.27334,7.94222,7.8931,7.18356,7.61556,7.27599,7.28713,5.49117,6.43017,7.01347,6.59868,6.67715
